Header:
#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A3700F
#Date Time: 2022-10-28 16:26:39.696
#Sample rate: 50000Hz
#Samples: 1903814

time, angle, A, B
5.999800, 85.253906, 1, 0
6.006040, 85.429688, 1, 1
6.012780, 85.605469, 0, 1
6.020620, 85.781250, 0, 0
6.026800, 85.957031, 1, 0
6.033460, 86.132812, 1, 1
6.040480, 86.308594, 0, 1
6.049060, 86.484375, 0, 0
6.055940, 86.660156, 1, 0
6.063160, 86.835938, 1, 1
6.070800, 87.011719, 0, 1
6.080120, 87.187500, 0, 0
6.087680, 87.363281, 1, 0
6.096100, 87.539062, 1, 1
6.105720, 87.714844, 0, 1
6.118740, 87.890625, 0, 0
6.130100, 88.066406, 1, 0
6.143120, 88.242188, 1, 1
6.160520, 88.417969, 0, 1
6.187520, 88.593750, 0, 0
6.207480, 88.769531, 1, 0
6.227260, 88.945312, 1, 1
6.249000, 89.121094, 0, 1
6.275380, 89.296875, 0, 0
6.292220, 89.472656, 1, 0
6.308900, 89.648438, 1, 1
6.328700, 89.824219, 0, 1
6.370040, 90.000000, 0, 0
6.406080, 90.175781, 1, 0
6.476560, 90.351562, 1, 1
6.507860, 90.527344, 0, 1
6.538940, 90.703125, 0, 0
6.589440, 90.878906, 1, 0
6.661180, 90.703125, 0, 0
6.683140, 90.527344, 0, 1
6.702340, 90.351562, 1, 1
6.715740, 90.175781, 1, 0
6.729400, 90.000000, 0, 0
6.741260, 89.824219, 0, 1
6.756020, 89.648438, 1, 1
6.767120, 89.472656, 1, 0
6.776580, 89.296875, 0, 0
6.784340, 89.121094, 0, 1
6.792240, 88.945312, 1, 1
6.797940, 88.769531, 1, 0
6.802860, 88.593750, 0, 0
6.807340, 88.417969, 0, 1
6.812640, 88.242188, 1, 1
6.816940, 88.066406, 1, 0
6.820880, 87.890625, 0, 0
6.824680, 87.714844, 0, 1
6.829320, 87.539062, 1, 1
6.833060, 87.363281, 1, 0
6.836640, 87.187500, 0, 0
6.840120, 87.011719, 0, 1
6.844500, 86.835938, 1, 1
6.848000, 86.660156, 1, 0
6.851440, 86.484375, 0, 0
6.854820, 86.308594, 0, 1
6.859040, 86.132812, 1, 1
6.862360, 85.957031, 1, 0
6.865620, 85.781250, 0, 0
6.868720, 85.605469, 0, 1
6.872660, 85.429688, 1, 1
6.875900, 85.253906, 1, 0
6.878940, 85.078125, 0, 0
6.881920, 84.902344, 0, 1
6.885540, 84.726562, 1, 1
6.888560, 84.550781, 1, 0
6.891380, 84.375000, 0, 0
6.894060, 84.199219, 0, 1
6.897440, 84.023438, 1, 1
6.900240, 83.847656, 1, 0
6.902840, 83.671875, 0, 0
6.905360, 83.496094, 0, 1
6.908420, 83.320312, 1, 1
6.910900, 83.144531, 1, 0
6.913300, 82.968750, 0, 0
6.915580, 82.792969, 0, 1
6.918420, 82.617188, 1, 1
6.920720, 82.441406, 1, 0
6.922940, 82.265625, 0, 0
6.925040, 82.089844, 0, 1
6.927760, 81.914062, 1, 1
6.929940, 81.738281, 1, 0
6.932060, 81.562500, 0, 0
6.934120, 81.386719, 0, 1
6.936780, 81.210938, 1, 1
6.938940, 81.035156, 1, 0
6.941080, 80.859375, 0, 0
6.943140, 80.683594, 0, 1
6.945780, 80.507812, 1, 1
6.948000, 80.332031, 1, 0
6.950180, 80.156250, 0, 0
6.952360, 79.980469, 0, 1
6.955100, 79.804688, 1, 1
6.957440, 79.628906, 1, 0
6.959720, 79.453125, 0, 0
6.961980, 79.277344, 0, 1
6.964800, 79.101562, 1, 1
6.967200, 78.925781, 1, 0
6.969540, 78.750000, 0, 0
6.971880, 78.574219, 0, 1
6.974800, 78.398438, 1, 1
6.977240, 78.222656, 1, 0
6.979640, 78.046875, 0, 0
6.981960, 77.871094, 0, 1
6.984980, 77.695312, 1, 1
6.987420, 77.519531, 1, 0
6.989860, 77.343750, 0, 0
6.992260, 77.167969, 0, 1
6.995320, 76.992188, 1, 1
6.997880, 76.816406, 1, 0
7.000380, 76.640625, 0, 0
7.002860, 76.464844, 0, 1
7.006000, 76.289062, 1, 1
7.008600, 76.113281, 1, 0
7.011180, 75.937500, 0, 0
7.013720, 75.761719, 0, 1
7.016920, 75.585938, 1, 1
7.019580, 75.410156, 1, 0
7.022240, 75.234375, 0, 0
7.024860, 75.058594, 0, 1
7.028180, 74.882812, 1, 1
7.030940, 74.707031, 1, 0
7.033720, 74.531250, 0, 0
7.036480, 74.355469, 0, 1
7.040000, 74.179688, 1, 1
7.043040, 74.003906, 1, 0
7.046020, 73.828125, 0, 0
7.048940, 73.652344, 0, 1
7.052720, 73.476562, 1, 1
7.055880, 73.300781, 1, 0
7.059060, 73.125000, 0, 0
7.062220, 72.949219, 0, 1
7.066220, 72.773438, 1, 1
7.069640, 72.597656, 1, 0
7.072960, 72.421875, 0, 0
7.076220, 72.246094, 0, 1
7.080480, 72.070312, 1, 1
7.083900, 71.894531, 1, 0
7.087480, 71.718750, 0, 0
7.091120, 71.542969, 0, 1
7.095760, 71.367188, 1, 1
7.099760, 71.191406, 1, 0
7.103760, 71.015625, 0, 0
7.107820, 70.839844, 0, 1
7.113140, 70.664062, 1, 1
7.117780, 70.488281, 1, 0
7.122500, 70.312500, 0, 0
7.127420, 70.136719, 0, 1
7.134040, 69.960938, 1, 1
7.139980, 69.785156, 1, 0
7.146340, 69.609375, 0, 0
7.153120, 69.433594, 0, 1
7.163180, 69.257812, 1, 1
7.174300, 69.082031, 1, 0
7.189840, 68.906250, 0, 0
7.233140, 69.082031, 1, 0
7.247960, 69.257812, 1, 1
7.259880, 69.433594, 0, 1
7.271080, 69.609375, 0, 0
7.278920, 69.785156, 1, 0
7.286500, 69.960938, 1, 1
7.293940, 70.136719, 0, 1
7.302080, 70.312500, 0, 0
7.308040, 70.488281, 1, 0
7.314120, 70.664062, 1, 1
7.320460, 70.839844, 0, 1
7.327800, 71.015625, 0, 0
7.333560, 71.191406, 1, 0
7.339680, 71.367188, 1, 1
7.346180, 71.542969, 0, 1
7.353840, 71.718750, 0, 0
7.360160, 71.894531, 1, 0
7.366740, 72.070312, 1, 1
7.373660, 72.246094, 0, 1
7.382660, 72.421875, 0, 0
7.390120, 72.597656, 1, 0
7.398920, 72.773438, 1, 1
7.409080, 72.949219, 0, 1
7.422480, 73.125000, 0, 0
7.435900, 73.300781, 1, 0
7.456800, 73.476562, 1, 1
7.516840, 73.300781, 1, 0
7.547420, 73.125000, 0, 0
7.598220, 72.949219, 0, 1
7.660200, 72.773438, 1, 1
7.697740, 72.949219, 0, 1
7.751540, 73.125000, 0, 0
7.795940, 73.300781, 1, 0
7.837620, 73.476562, 1, 1
7.875160, 73.652344, 0, 1
7.937340, 73.828125, 0, 0
7.975260, 74.003906, 1, 0
8.008420, 74.179688, 1, 1
8.056220, 74.355469, 0, 1
8.121120, 74.531250, 0, 0
8.334740, 74.707031, 1, 0
8.405060, 74.882812, 1, 1
8.451100, 75.058594, 0, 1
8.488960, 75.234375, 0, 0
8.519280, 75.410156, 1, 0
8.546780, 75.585938, 1, 1
8.571040, 75.761719, 0, 1
8.799940, 75.585938, 1, 1
8.862160, 75.410156, 1, 0
8.935860, 75.585938, 1, 1
9.015180, 75.410156, 1, 0
9.122500, 75.585938, 1, 1
9.186380, 75.761719, 0, 1
9.240900, 75.937500, 0, 0
9.275620, 76.113281, 1, 0
9.309160, 76.289062, 1, 1
9.346800, 76.464844, 0, 1
9.414660, 76.289062, 1, 1
9.633740, 76.464844, 0, 1
9.697720, 76.640625, 0, 0
9.749500, 76.816406, 1, 0
9.825000, 76.992188, 1, 1
9.863560, 77.167969, 0, 1
9.903900, 77.343750, 0, 0
9.932160, 77.519531, 1, 0
9.964420, 77.695312, 1, 1
10.056540, 77.519531, 1, 0
10.113900, 77.343750, 0, 0
10.339140, 77.167969, 0, 1
10.489900, 77.343750, 0, 0
10.517620, 77.519531, 1, 0
10.539700, 77.695312, 1, 1
10.559860, 77.871094, 0, 1
10.583300, 78.046875, 0, 0
10.603900, 78.222656, 1, 0
10.624220, 78.398438, 1, 1
10.645280, 78.574219, 0, 1
10.680500, 78.750000, 0, 0
10.742920, 78.925781, 1, 0
10.794400, 78.750000, 0, 0
10.856080, 78.574219, 0, 1
10.904420, 78.398438, 1, 1
10.935940, 78.222656, 1, 0
10.967680, 78.046875, 0, 0
11.018860, 77.871094, 0, 1
11.099700, 78.046875, 0, 0
11.124100, 78.222656, 1, 0
11.149440, 78.398438, 1, 1
11.178860, 78.574219, 0, 1
11.224620, 78.750000, 0, 0
11.253000, 78.925781, 1, 0
11.278260, 79.101562, 1, 1
11.306640, 79.277344, 0, 1
11.338720, 79.453125, 0, 0
11.359780, 79.628906, 1, 0
11.381540, 79.804688, 1, 1
11.404900, 79.980469, 0, 1
11.442500, 80.156250, 0, 0
11.477880, 80.332031, 1, 0
11.500380, 80.507812, 1, 1
11.517600, 80.683594, 0, 1
11.534560, 80.859375, 0, 0
11.548520, 81.035156, 1, 0
11.565680, 81.210938, 1, 1
11.583760, 81.386719, 0, 1
11.607960, 81.562500, 0, 0
11.620360, 81.738281, 1, 0
11.629760, 81.914062, 1, 1
11.638080, 81.738281, 1, 0
11.641980, 81.562500, 0, 0
11.644440, 81.386719, 0, 1
11.646980, 81.210938, 1, 1
11.648740, 81.035156, 1, 0
11.650280, 80.859375, 0, 0
11.651640, 80.683594, 0, 1
11.653260, 80.507812, 1, 1
11.654500, 80.332031, 1, 0
11.655640, 80.156250, 0, 0
11.656720, 79.980469, 0, 1
11.657980, 79.804688, 1, 1
11.659020, 79.628906, 1, 0
11.659980, 79.453125, 0, 0
11.660880, 79.277344, 0, 1
11.661960, 79.101562, 1, 1
11.662840, 78.925781, 1, 0
11.663680, 78.750000, 0, 0
11.664480, 78.574219, 0, 1
11.665440, 78.398438, 1, 1
11.666220, 78.222656, 1, 0
11.666960, 78.046875, 0, 0
11.667660, 77.871094, 0, 1
11.668540, 77.695312, 1, 1
11.669240, 77.519531, 1, 0
11.669920, 77.343750, 0, 0
11.670580, 77.167969, 0, 1
11.671380, 76.992188, 1, 1
11.672040, 76.816406, 1, 0
11.672660, 76.640625, 0, 0
11.673280, 76.464844, 0, 1
11.674040, 76.289062, 1, 1
11.674640, 76.113281, 1, 0
11.675240, 75.937500, 0, 0
11.675820, 75.761719, 0, 1
11.676540, 75.585938, 1, 1
11.677100, 75.410156, 1, 0
11.677660, 75.234375, 0, 0
11.678200, 75.058594, 0, 1
11.678880, 74.882812, 1, 1
11.679420, 74.707031, 1, 0
11.679960, 74.531250, 0, 0
11.680460, 74.355469, 0, 1
11.681120, 74.179688, 1, 1
11.681660, 74.003906, 1, 0
11.682160, 73.828125, 0, 0
11.682660, 73.652344, 0, 1
11.683260, 73.476562, 1, 1
11.683760, 73.300781, 1, 0
11.684260, 73.125000, 0, 0
11.684720, 72.949219, 0, 1
11.685320, 72.773438, 1, 1
11.685800, 72.597656, 1, 0
