Header:,,,
#Digilent WaveForms Logic Analyzer Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321A3700F,,,
#Date Time: 2022-10-28 16:30:14.816,,,
#Sample rate: 50000Hz,,,
#Samples: 1366378,,,
,,,
time, angle, A, B
8.99714,41.132812,1,1
8.99754,40.957031,1,0
8.99794,40.78125,0,0
8.99832,40.605469,0,1
8.9988,40.429688,1,1
8.99922,40.253906,1,0
8.9996,40.078125,0,0
8.99998,39.902344,0,1
9.00046,39.726562,1,1
9.00084,39.550781,1,0
9.0012,39.375,0,0
9.00158,39.199219,0,1
9.00204,39.023438,1,1
9.00242,38.847656,1,0
9.0028,38.671875,0,0
9.00314,38.496094,0,1
9.00362,38.320312,1,1
9.00398,38.144531,1,0
9.00436,37.96875,0,0
9.00472,37.792969,0,1
9.00516,37.617188,1,1
9.00554,37.441406,1,0
9.0059,37.265625,0,0
9.00626,37.089844,0,1
9.0067,36.914062,1,1
9.00708,36.738281,1,0
9.00744,36.5625,0,0
9.00778,36.386719,0,1
9.00822,36.210938,1,1
9.0086,36.035156,1,0
9.00894,35.859375,0,0
9.0093,35.683594,0,1
9.00972,35.507812,1,1
9.0101,35.332031,1,0
9.01044,35.15625,0,0
9.01078,34.980469,0,1
9.01122,34.804688,1,1
9.01156,34.628906,1,0
9.0119,34.453125,0,0
9.01224,34.277344,0,1
9.01266,34.101562,1,1
9.013,33.925781,1,0
9.01334,33.75,0,0
9.01366,33.574219,0,1
9.01408,33.398438,1,1
9.01442,33.222656,1,0
9.01476,33.046875,0,0
9.01512,32.871094,0,1
9.01552,32.695312,1,1
9.01586,32.519531,1,0
9.01618,32.34375,0,0
9.0165,32.167969,0,1
9.01692,31.992188,1,1
9.01726,31.816406,1,0
9.0176,31.640625,0,0
9.01792,31.464844,0,1
9.01834,31.289062,1,1
9.01868,31.113281,1,0
9.019,30.9375,0,0
9.0193,30.761719,0,1
9.0197,30.585938,1,1
9.02006,30.410156,1,0
9.02038,30.234375,0,0
9.0207,30.058594,0,1
9.0211,29.882812,1,1
9.02142,29.707031,1,0
9.02174,29.53125,0,0
9.02204,29.355469,0,1
9.02244,29.179688,1,1
9.02276,29.003906,1,0
9.02308,28.828125,0,0
9.02338,28.652344,0,1
9.02376,28.476562,1,1
9.02408,28.300781,1,0
9.0244,28.125,0,0
9.02472,27.949219,0,1
9.0251,27.773438,1,1
9.02542,27.597656,1,0
9.02574,27.421875,0,0
9.02606,27.246094,0,1
9.02644,27.070312,1,1
9.02676,26.894531,1,0
9.02708,26.71875,0,0
9.02738,26.542969,0,1
9.02776,26.367188,1,1
9.02808,26.191406,1,0
9.0284,26.015625,0,0
9.0287,25.839844,0,1
9.02908,25.664062,1,1
